Ref,Topic,Observation,Meaning,Impact
Q1,Missing CustomerID,"135,080 rows (24.9%) have no CustomerID.",These are likely guest or till sales that cannot be traced to a person.,M2 drops them for customer-level work. M1 records the limitation: our segments describe identified customers only.
Q2,Spend skew,Spend is extremely right-skewed (skewness 21.6); the top 1% of customers bring in 29.7% of revenue.,A small number of wholesalers spend far more than ordinary customers.,"M2 should log-transform Monetary before scaling. M3 must note K-Means uses distances, so untransformed spend would let a few wholesalers dominate every cluster."
Q3,One-time buyers,"1,313 customers (30.0%) placed only one order.",A large one-time group exists alongside a smaller repeat-buying group.,M3 should expect at least one cluster of one-time low-value customers. M4 should verify this group really stays away after the cut-off date.
Q4,Recency spread,Recency ranges from 0 to 373 days; the median is 49 days.,Many customers have been quiet a long time while others bought very recently.,"Recency separates customers well, so M3 keeps it as a clustering feature. M4 uses the 90 days after 9 Sep 2011 to test whether 'lost' customers really stayed away."
Q5,Seasonality,"Revenue climbs steeply to a peak in November 2011, then drops in the partial December.",The business is highly seasonal around Christmas.,"M4 must note the 90-day test window (Sep-Dec) contains the Christmas peak, so repeat-purchase rates there exceed a normal quarter. Belongs in limitations."
Q6,Country imbalance,"91.4% of rows are from the United Kingdom, and some values are vague (EIRE, Unspecified, European Community).",Country is badly imbalanced and partly unreliable.,"M2 should collapse Country to UK / non-UK rather than one-hot encoding many values, which would add noise to distance-based clustering."
Q7,Cancellations,"9,288 rows (1.71%) are cancellations with negative quantities, and 1,589 customers cancelled at least once.","Returns are a real, measurable part of buying behaviour, not merely dirty data.",M2 must exclude them from spending totals so returns are not counted as sales. M3 may optionally test a cancellation-rate feature.
Q8,Impossible values,"Quantity runs from -80,995 to 80,995 and UnitPrice from -11,062.06 to 38,970.00; the extremes are a huge order and its matching cancellation.",Some rows are accounting corrections rather than genuine sales.,"M2 removes non-positive prices and quantities using a documented rule. M1 keeps the evidence that these extremes are paired order/cancellation rows, not typos."
Q9,Non-product codes,"2,964 rows use non-product codes such as POST, DOT, M, C2 for postage, discounts, manual adjustments and bank charges.",Not every row is a product sale.,M2 filters these from product-level analysis. OPEN QUESTION for the group: does postage count towards a customer's Monetary value? Record the answer in the decision log.
Q10,Low unit prices,Most items are inexpensive gifts; the median unit price is about £2.08.,"High customer spend comes from buying in bulk, not from buying expensive items.","Supports the wholesaler explanation in Q2 and helps M4 name clusters accurately ('bulk buyers', not 'luxury buyers')."
Q11,"R, F, M overlap",Frequency and Monetary are strongly correlated (Spearman 0.81); Recency relates negatively to both.,"F and M partly measure the same underlying loyalty, so the three measures are not independent.","M3 scales all three so none dominates, and mentions this overlap when interpreting clusters. Adding further spend-related features would worsen the redundancy."
Q12,Duplicate rows,"5,268 rows are exact duplicates of another row.","The same product line was recorded twice, so quantities and totals are slightly inflated.","M2 applies drop_duplicates() before building any totals, otherwise Frequency and Monetary are overstated for the affected customers."
